word,frequency
pride,12
sad,12
piece,12
respectful,12
tasteless,12
monday,12
varied,12
broad,12
spiced,12
original,12
lobster,12
dismissive,12
spotless,12
tough,12
tier,12
mac,12
museum,12
independent,12
ignored,12
happily,12
moved,12
correct,12
flavoursome,12
mean,12
obviously,12
private,12
hardly,12
engaging,12
important,12
crowded,12
stumbled,12
cod,12
greasy,12
goat,12
basically,11
advise,11
lights,11
exceptionally,11
improve,11
deeply,11
turn,11
response,11
workers,11
complain,11
knowing,11
distance,11
culture,11
selling,11
ruined,11
overcooked,11
calamari,11
fridge,11
hotels,11
advised,11
hall,11
staffs,11
followed,11
base,11
lunchtime,11
consistent,11
anniversary,11
extras,11
cleared,11
surprisingly,11
held,11
situated,11
post,11
remembered,11
defo,11
read,11
eats,11
ribs,11
safety,11
charming,11
banana,11
lid,11
shot,11
wines,11
sea,11
designed,11
tucked,11
baloci,11
certain,11
total,11
bin,11
caring,11
spoons,11
helen,11
clinic,11
serious,11
question,11
mushrooms,11
decide,11
aesthetic,11
turkish,11
center,11
nachos,11
budget,11
tone,11
overly,11
requests,11
pricing,11
fell,11
assistance,11
floors,11
imagine,11
handy,11
perhaps,11
community,11
equally,11
grateful,11
attentiveness,11
ahead,11
toby,11
hoping,11
appalling,11
policy,11
stuck,11
sold,11
speaking,11
pie,11
reasons,11
phoned,11
delay,11
approach,11
coach,11
jacket,11
peak,11
feedback,11
raise,11
cheaper,11
catching,11
shows,11
theme,11
session,11
cups,11
pubs,11
july,11
receive,11
nero,11
fit,11
sick,10
shift,10
age,10
combination,10
custard,10
act,10
prompt,10
megan,10
lover,10
chatty,10
adults,10
bouncers,10
signature,10
aggressive,10
passed,10
dress,10
stepped,10
tandoori,10
mother,10
bothered,10
fillings,10
thick,10
railway,10
spectacular,10
naan,10
pistachio,10
missed,10
deserves,10
disappointment,10
beauty,10
minimum,10
checkout,10
sample,10
create,10
lacked,10
sugar,10
ample,10
thinking,10
tom,10
screens,10
become,10
boy,10
fancy,10
aware,10
charging,10
reserved,10
towards,10
architecture,10
pulled,10
dealt,10
hopefully,10
respect,10
carvery,10
reliable,10
appealing,10
inn,10
appeared,10
reply,10
topped,10
smart,10
cajun,10
study,10
neither,10
bursting,10
tofu,10
stir,10
thursday,10
finishing,10
improved,10
answered,10
ballet,10
pots,10
details,10
plain,10
celebration,10
