word,frequency
ridiculous,8
celebrating,8
aren't,8
baby,8
midlands,8
classy,8
hesitate,8
supported,8
sum,8
alright,8
pedro,8
learn,8
manners,8
pad,8
amazon,8
consistency,8
scallops,8
soy,8
directly,8
booth,8
concern,8
bang,8
beds,8
fillet,8
concert,8
dad,8
state,8
christmas,8
battered,8
shake,8
cheerful,8
approached,8
mentioned,8
cheapest,8
aldi,8
stepping,8
unhelpful,8
proceeded,8
slices,8
includes,8
ignore,8
foot,8
grabbed,8
exquisite,8
stocked,8
melted,8
responded,8
mocha,8
parcel,8
thin,8
surely,8
problems,7
tennis,7
lucy,7
addition,7
chocolates,7
efficiency,7
present,7
caused,7
alongside,7
signed,7
pints,7
chatting,7
petrol,7
covered,7
platform,7
handed,7
newly,7
rustic,7
complained,7
cause,7
alex,7
african,7
boxes,7
condition,7
happening,7
palate,7
gonna,7
id,7
mushy,7
male,7
vendors,7
spending,7
knows,7
plastic,7
display,7
film,7
email,7
confidence,7
weird,7
deliveroo,7
seasoning,7
chops,7
resolve,7
aubergine,7
finds,7
appears,7
village,7
satisfaction,7
compliments,7
misleading,7
accommodate,7
dishoom,7
dipping,7
suit,7
individual,7
baristas,7
noodle,7
drop,7
discounts,7
luxurious,7
bap,7
rosie,7
brother,7
forks,7
elegant,7
dim,7
intimate,7
bites,7
delivers,7
lemonade,7
square,7
unlimited,7
anna,7
colleagues,7
gesture,7
pineapple,7
background,7
specials,7
boyfriend,7
premises,7
scan,7
kid,7
gives,7
telling,7
specifically,7
period,7
indulgent,7
creative,7
accepted,7
god,7
beforehand,7
apologies,7
reminded,7
didnt,7
initially,7
unsure,7
cared,7
ran,7
six,7
fix,7
fumo,7
country,7
immaculate,7
fire,7
throw,7
realised,7
rubbish,7
strange,7
balcony,7
planned,7
suggested,7
utterly,7
fall,7
frequent,7
rubbery,7
speed,7
friendliness,7
array,7
tree,7
chains,7
edit,7
listen,7
vinegar,7
provides,7
tills,7
flowers,7
platforms,7
panini,7
fusion,7
elegance,7
miles,7
steps,7
let's,7
golf,7
separately,7
mexican,7
role,7
taster,7
matched,7
west,7
piano,7
croissant,7
penny,7
letting,7
sub,7
yum,7
behaviour,7
weekday,7
replied,7
tray,7
hesitation,7
confirmed,7
john,7
fry,7
potential,7
breast,7
peri,7
annoying,7
maintenance,7
max,7
tikka,7
warning,7
mount,7
tight,7
shelves,7
produce,7
yorks,7
finger,7
families,7
continue,7
mould,7
whatsoever,7
bench,7
metal,7
originally,7
tuesday,7
lauren,7
squid,7
hen,7
pepperoni,7
constantly,7
celebrated,7
attempt,7
suggestions,7
spirits,7
cover,7
trips,7
cctv,7
dated,7
thankyou,7
sink,7
dream,7
waitresses,7
letdown,7
wasnt,7
fuji,7
beverages,7
term,7
degrees,7
wise,7
shouting,7
consider,7
sell,7
blonde,7
poached,7
focus,7
steaks,6
gym,6
feet,6
gent,6
address,6
lastly,6
dairy,6
par,6
davisons,6
suite,6
