word,frequency,category
pieces,18,other
services,18,other
earlier,18,other
tap,18,other
shower,18,other
fully,18,other
onion,18,other
daughter,18,other
compared,18,other
charged,18,other
picked,18,other
church,18,other
suggest,17,other
communication,17,other
saying,17,other
unless,17,other
standards,17,other
four,17,other
asian,17,other
fruit,17,other
smell,17,other
salt,17,other
talk,17,other
spice,17,other
brum,17,other
glasses,17,other
bubble,17,other
gig,17,other
shawarma,17,other
menus,17,other
higher,17,other
arrival,17,other
dog,17,other
works,17,other
roll,17,other
lucky,17,other
situation,17,other
oil,17,other
share,17,other
possible,17,other
cheesecake,17,other
crunchy,17,other
cookie,17,other
meant,17,other
stuff,17,other
recent,17,other
ticket,17,other
ales,17,other
dont,17,other
code,17,other
bakery,17,other
terms,16,other
shout,16,other
adding,16,other
mum,16,other
gentleman,16,other
screen,16,other
refused,16,other
foods,16,other
hash,16,other
sent,16,other
photo,16,other
allowed,16,other
face,16,other
burrito,16,other
bars,16,other
spices,16,other
movie,16,other
unacceptable,16,other
british,16,other
uber,16,other
groups,16,other
overpriced,16,other
summer,16,other
hygiene,16,other
sort,16,other
mango,16,other
hear,16,other
harborne,16,other
ramen,16,food
biryani,16,other
running,16,other
sour,16,taste
impression,16,other
creating,16,other
lift,16,other
notice,16,other
maintained,16,other
comfort,16,other
eye,16,other
weather,16,other
explain,16,other
speak,16,other
peaceful,16,other
highlight,16,other
stairs,16,other
holiday,16,other
excited,16,other
juice,16,other
treats,16,other
returned,16,other
entry,16,other
noise,16,other
sister,16,other
desk,15,other
contact,15,other
walls,15,other
enjoying,15,other
mini,15,other
stock,15,other
bowl,15,other
relax,15,other
complaint,15,other
drive,15,other
improvement,15,other
miss,15,other
cats,15,other
apple,15,other
travel,15,other
alone,15,other
themed,15,other
ease,15,other
seafood,15,other
mouth,15,other
training,15,other
ale,15,other
putting,15,other
dumplings,15,other
meeting,15,other
bun,15,other
pictures,15,other
mistake,15,other
chain,15,other
airy,15,other
blown,15,other
rolls,15,other
dietary,15,other
providing,15,other
sets,15,other
avocado,15,other
double,15,other
crowd,15,other
wooden,15,other
everywhere,15,other
prefer,15,other
terrace,15,other
laid,15,other
advice,15,other
passion,15,other
dropped,15,other
design,15,other
lacking,15,other
shoes,15,other
chilled,15,other
knowledge,15,other
indoor,15,other
normally,14,other
experiences,14,other
requested,14,other
tonight,14,other
nearly,14,other
skills,14,other
idea,14,other
warmth,14,other
reading,14,other
moving,14,other
shocking,14,other
helping,14,other
wheelchair,14,other
stress,14,other
ensuring,14,other
shoutout,14,other
passing,14,other
smaller,14,other
planning,14,other
spring,14,other
conversation,14,other
views,14,other
recommending,14,other
temperature,14,other
gorgeous,14,other
recommendation,14,other
layout,14,other
list,14,other
attached,14,other
deep,14,other
happen,14,other
patience,14,other
sense,14,other
collection,14,other
loyal,14,other
finished,14,other
burnt,14,other
opinion,14,other
bbq,14,food
collect,14,other
cafes,14,other
unreal,14,other
chewy,14,other
emma,14,other
spoke,14,other
deli,14,other
payment,14,other
lost,14,other
muffin,14,other
crust,14,other
class,14,other
stage,14,other
public,14,other
manner,14,other
personally,14,other
mess,14,other
anyway,14,other
showed,14,other
london,14,other
rock,14,other
negative,14,other
snack,14,other
die,14,other
purchase,14,other
anywhere,14,other
mailbox,14,other
buying,14,other
potatoes,13,other
barista,13,other
cleanliness,13,other
complaints,13,other
kindly,13,other
explore,13,other
mushroom,13,other
politely,13,other
wanting,13,other
deals,13,other
salty,13,taste
mine,13,other
stylish,13,other
nando,13,other
answer,13,other
vegetables,13,other
sausages,13,other
tomato,13,other
lighting,13,other
pass,13,other
waffle,13,other
satisfied,13,other
office,13,other
heard,13,other
mile,13,other
points,13,other
adds,13,other
stomach,13,other
slice,13,other
social,13,other
craving,13,other
reservation,13,other
stated,13,other
key,13,other
host,13,other
history,13,other
smiles,13,other
journey,13,other
kindness,13,other
heat,13,other
medium,13,other
information,13,other
opposite,13,other
nobody,13,other
sorted,13,other
zero,13,other
guinness,13,other
standout,13,other
broken,13,other
charm,13,other
dough,13,other
onto,13,other
servers,13,other
blend,13,other
strong,13,other
drinking,13,other
unforgettable,13,other
crafted,13,other
branches,13,other
advertised,13,other
soggy,13,other
mainly,13,other
rating,13,other
experienced,13,other
sound,13,other
larger,13,other
roof,12,other
noisy,12,environment
dine,12,other
sized,12,other
craft,12,other
favorite,12,other
soul,12,other
homemade,12,other
says,12,other
men,12,other
previous,12,other
wetherspoons,12,other
writing,12,other
kfc,12,other
known,12,other
occasions,12,other
dark,12,other
treatment,12,other
gift,12,other
promptly,12,other
involved,12,other
website,12,other
exceeded,12,other
dance,12,other
